idFormulario1;numEjemplarF1;fecha;esHospedaje;idMacrozona;idZonaGrupo;idCoordinador;idSupervisor;idAtractor;clave catastral;referencia;idNovedad
4383;5484;02/06/2020;false;1;4;1;1;3;8.01E+16;12 de abril;Se niegan a llenar la encuesta
2971;3732;02/04/2020;false;3;31;3;1;3;1.41E+17;TALLER DE FUEGOS ARTIFICIALES;Ninguna
2972;3733;02/04/2020;false;3;31;3;1;3;1.41E+17;GAS DOMESTICO;Ninguna
2973;3734;02/04/2020;false;3;31;3;1;1;1.41E+17;CASA;El predio se ha convertido en Vivienda o Conjunto Habitacional
2975;3736;02/03/2020;false;1;1;1;1;4;2.02E+16;sangurima 7-26 y presidente borrero;Se niegan a llenar la encuesta
2978;3739;02/11/2020;false;2;14;2;1;4;9.01E+16;dos de agosto y pedro vicente maldonado;Ninguna
2981;3742;02/03/2020;false;1;1;1;1;3;2.02E+16;presidente borrero 10-09;Ninguna
2982;3743;02/03/2020;false;1;1;1;1;3;2.02E+16;presidente borrero 10-21;Ninguna
2983;3744;02/03/2020;false;1;1;1;1;3;2.02E+16;presidente borrero casa farah 10-83;Ninguna
2984;3745;02/03/2020;false;1;1;1;1;3;2.02E+16;jose lamar 07-21;Ninguna
2985;3746;02/07/2020;false;2;12;2;1;3;9.02E+16;Unidad Educativa Liceo Americano Catolico;Otra
2987;3748;02/07/2020;false;2;12;2;1;3;9.02E+16;Librer«ü∂a e Imprenta;Ninguna
2988;3749;02/03/2020;false;1;1;1;1;3;2.02E+16;mariscal lamar 7-91;Ninguna
2989;3750;02/11/2020;false;2;14;2;1;3;9.01E+16;el vecino 1 restaurante 314, av r. duran;Ninguna
2990;3751;02/11/2020;false;2;14;2;1;3;9.01E+16;caf«ü∂∏ de lucia, av ricardo duran, camino a ba«ü∂Òos;Otra
2991;3752;02/03/2020;false;1;1;1;1;3;2.02E+16;mariscal lamar 7-59;El horario de atencion no coincide con el horario del barrido
2992;3753;02/03/2020;false;1;1;1;1;3;2.02E+16;luis cordero 10-96;Ninguna
2993;3754;02/03/2020;false;1;1;1;1;3;2.02E+16;luis cordero 10-26;Ninguna
2994;3755;02/07/2020;false;2;12;2;1;19;9.02E+16;Instituto de paralicis Cerebral;El horario de atencion no coincide con el horario del barrido
2995;3756;02/07/2020;false;2;12;2;1;3;9.02E+16;Importadora de Carne;Ninguna
2996;3757;02/07/2020;false;2;12;2;1;3;9.02E+16;casa ubicada en la isabel la catolica;Se niegan a llenar la encuesta
2997;3758;02/07/2020;false;2;12;2;1;3;9.02E+16;tienda ubicada en la Miguel Cabello Balbua;Se niegan a llenar la encuesta
2998;3759;02/07/2020;false;2;12;2;1;3;9.02E+16;Tienda ubicada enla calle  Hernan Corten;Ninguna
2999;3760;02/03/2020;false;1;1;1;1;3;2.02E+16;antonio borrero 10-13;Se niegan a llenar la encuesta
3003;3764;02/03/2020;false;1;1;1;1;3;2.02E+16;antonio borrero 10-69;Ninguna
